A	1 A
ASTY	9 STAY
ASU	3 AUS
ASUU	4 AUSU
ASUV	5 VASU
ASV	4 VAS
ASVVY	8 SAVVY
ASW	5 WAS
ASWY	7 YAWS
ASX	3 SAX
ASY	4 YAS
AT	6 TA
ATT	11 TAT
ATTTY	18 TATTY
ATTU	12 TAUT
ATTW	14 WATT
ATU	7 UTA
ATUZ	8 TUZA
ATV	8 VAT
ATVY	10 TAVY
ATW	9 WAT
ATWY	11 TWAY
ATWYZZ	13 TWAZZY
ATX	7 TAX
ATXY	9 TAXY
ATY	8 YAT
ATZ	7 ZAT
AUV	4 VAU
AUVY	6 VAYU
AUY	4 AYU
AUZZ	4 ZUZA
AVWY	8 WAVY
AW	4 WA
AWW	7 WAW
AWX	5 WAX
AWXY	7 WAXY
AWY	6 YAW
AWYY	8 YAWY
AX	2 AX
AXZ	3 ZAX
AY	3 YA
AZ	2 ZA
B	4 B
BBBDELO	24 BLOBBED
BBBDEO	22 BOBBED
BBBEIL	17 BIBBLE
BBBEILR	19 BIBBLER
BBBEIO	20 BOBBIE
BBBEIR	17 BIBBER
BBBELO	21 BOBBLE
BBBELOR	23 BLOBBER
BBBELRU	19 BUBBLER
BBBELU	17 BUBBLE
BBBELY	18 BLEBBY
BBBEOR	21 BOBBER
BBBEORY	23 BOBBERY
BBBGINO	23 BOBBING
BBBHIOS	24 BOBBISH
BBBHUU	19 HUBBUB
BBBI	13 BIBB
BBBINO	22 BOBBIN
BBBINOS	23 BIBBONS
BBBLOY	21 BLOBBY
BBBLUY	17 BUBBLY
BBBOY	19 BOBBY
BBBUY	15 BUBBY
BBCCIKO	34 BIBCOCK
BBCDEHU	24 CHUBBED
BBCDELU	21 CLUBBED
BBCDEO	23 COBBED
BBCEEHO	27 BOBECHE
BBCEHOT	30 BEBOTCH
BBCEILR	20 CRIBBLE
BBCEIRR	20 CRIBBER
BBCEKKU	36 KEBBUCK
BBCEKNU	30 NEBBUCK
BBCEKTU	31 TUBBECK
BBCELO	22 COBBLE
BBCELOR	24 COBBLER
BBCELRU	20 CLUBBER
BBCEOR	22 COBBER
BBCEOW	23 COBWEB
BBCEU	16 CUBEB
BBCGINO	24 COBBING
BBCGINU	20 CUBBING
BBCHISU	21 CUBBISH
BBCHUY	21 CHUBBY
BBCIIL	17 BIBLIC
BBCINOU	24 BUBONIC
BBCLOY	22 COBBLY
BBCLUY	18 CLUBBY
BBCOSY	21 SCOBBY
BBCOY	20 COBBY
BBCRSUY	19 SCRUBBY
BBCUY	16 CUBBY
BBDDEO	21 DOBBED
BBDEE	15 BEBED
BBDEEI	16 DEBBIE
BBDEEL	17 BEBLED
BBDEELP	20 PEBBLED
BBDEEN	19 NEBBED
BBDEENU	20 UNEBBED
BBDEEOR	22 BEROBED
BBDEET	20 BEDEBT
BBDEEW	18 WEBBED
BBDEGI	15 GIBBED
BBDEGRU	17 GRUBBED
BBDEGU	15 BEDBUG
BBDEIL	16 DIBBLE
BBDEILO	21 BILOBED
BBDEILR	18 DRIBBLE
BBDEIMO	24 DEMIBOB
BBDEIN	18 NIBBED
BBDEINW	21 BINDWEB
BBDEIR	16 RIBBED
BBDEIS	15 SIBBED
BBDEKNO	32 KNOBBED
BBDELOO	25 BEBLOOD
BBDELOS	21 BOBSLED
BBDELU	16 BULBED
BBDEMO	23 BOMBED
BBDEMU	19 BEDUMB
BBDENSU	19 SNUBBED
BBDEOR	20 DOBBER
BBDEOU	19 BUBOED
BBDERRU	18 DRUBBER
BBDERU	16 RUBBED
BBDESTU	20 STUBBED
BBDESU	15 SUBDEB
BBDEU	14 BEDUB
BBDEY	15 DEBBY
BBDFLUU	18 FLUBDUB
BBDGINO	22 DOBBING
BBDGINU	18 DUBBING
BBDIKU	23 DIBBUK
BBDINO	21 DOBBIN
BBDLRUY	18 DRUBBLY
BBDOOOW	29 BOBWOOD
BBDOY	18 DOBBY
BBDU	12 DUBB
BBDUY	14 DUBBY
BBE	10 EBB
BBEEERU	17 BEBEERU
BBEEGI	14 GEBBIE
BBEEIK	23 KEBBIE
BBEEILL	17 BELIBEL
BBEEINR	19 BEBRINE
BBEEIR	15 BRIBEE
BBEEIRR	17 REBRIBE
BBEEIT	18 BEBITE
BBEEKL	24 LEBBEK
BBEELO	19 EELBOB
BBEELOW	22 BEELBOW
BBEELP	17 PEBBLE
BBEELSS	16 BEBLESS
BBEEMU	18 BUMBEE
BBEEMX	18 BEMBEX
BBEENN	20 BENBEN
BBEENSU	18 SNUBBEE
BBEERR	16 BERBER
BBEERW	17 WEBBER
BBEETT	22 TEBBET
BBEFILR	18 FRIBBLE
BBEFIR	16 FIBBER
BBEFIRY	18 FIBBERY
BBEGILR	16 GRIBBLE
BBEGILS	15 GIBBLES
BBEGINW	19 WEBBING
BBEGIOS	18 GIBBOSE
BBEGIR	14 GIBBER
BBEGIT	17 GIBBET
BBEGITU	18 BUGBITE
BBEGLO	18 GOBBLE
BBEGLOR	20 GOBBLER
BBEGO	16 GOBBE
BBEGOR	18 GOBBER
BBEGOS	17 BEGOBS
BBEGOT	21 GOBBET
BBEGRRU	16 GRUBBER
BBEHITU	22 HUBBITE
BBEHKRU	28 KHUBBER
BBEHLO	22 HOBBLE
BBEHLOR	24 HOBBLER
BBEHLU	18 HUBBLE
BBEHMTU	26 BETHUMB
BBEHOR	22 HOBBER
BBEHOT	25 HOBBET
BBEHRSU	19 BEBRUSH
BBEHRU	18 HUBBER
BBEIIL	14 BILBIE
BBEIIM	17 IMBIBE
BBEIIMR	19 IMBIBER
BBEIIT	17 TIBBIE
BBEIJR	15 JIBBER
BBEIKL	23 KIBBLE
BBEIKLR	25 KIBBLER
BBEIKR	23 KIBBER
BBEIL	13 BLIBE
BBEILN	17 NIBBLE
BBEILNR	19 NIBBLER
BBEILNS	18 SNIBBLE
BBEILO	18 BILOBE
BBEILQU	24 QUIBBLE
BBEILR	15 RIBBLE
BBEILRT	20 TRIBBLE
BBEILSS	15 BIBLESS
BBEILT	18 LIBBET
BBEIMY	18 BIMEBY
BBEINR	17 NIBBER
BBEINSS	17 SIBBENS
BBEIOOT	26 BOBOTIE
BBEIQSU	23 BESQUIB
BBEIR	13 BRIBE
BBEIRR	15 RIBBER
BBEIRRY	17 BRIBERY
BBEIRS	14 SIBBER
BBEIRT	18 RIBBET
BBEITU	17 TUBBIE
BBEJLO	19 JOBBLE
BBEJOR	19 JOBBER
BBEJORY	21 JOBBERY
BBEJOT	22 JOBBET
BBEJU	13 JUBBE
BBEKLNO	31 KNOBBLE
BBEKLOS	28 BLESBOK
BBEKLUU	24 BUBUKLE
BBEKNOR	31 KNOBBER
BBEKNU	25 NEBBUK
BBEL	12 BLEB
BBELLOY	21 BELLBOY
BBELLTU	20 BULBLET
BBELLUU	16 BULBULE
BBELMOO	27 BEBLOOM
BBELMRU	20 BUMBLER
BBELMU	18 BUMBLE
BBELNO	21 NOBBLE
BBELNOR	23 NOBBLER
BBELNU	17 NUBBLE
BBELOR	19 LOBBER
BBELORS	20 SLOBBER
BBELORW	22 WOBBLER
BBELORY	21 LOBBYER
BBELOSU	19 BULBOSE
BBELOW	20 WOBBLE
BBELPU	16 PUBBLE
BBELPY	17 PEBBLY
BBELRRU	17 RUBBLER
BBELRSU	16 SLUBBER
BBELRU	15 RUBBLE
BBELSTU	19 STUBBLE
BBEMNU	20 BENUMB
BBEMOR	22 MOBBER
BBEMPU	19 BEBUMP
BBENOR	21 NOBBER
BBENORS	22 SNOBBER
BBENOTW	27 BOWBENT
BBENRSU	18 SNUBBER
BBENY	16 NEBBY
BBEOORY	24 BOOBERY
BBEOP	18 BEBOP
BBEOR	17 REBOB
BBEORR	19 ROBBER
BBEORRY	21 ROBBERY
BBEORS	18 SOBBER
BBEOSS	17 BEBOSS
BBEOTU	21 TUBBOE
BBERRSU	16 RUBBERS
BBERRU	15 RUBBER
BBERRUY	17 RUBBERY
BBERSTU	19 STUBBER
BBERTU	18 TUBBER
BBESUY	14 BEBUSY
BBEU	11 BUBE
BBEUZ	12 ZEBUB
BBEWY	15 WEBBY
BBFIRY	16 FRIBBY
BBFLOY	20 FLOBBY
BBFUY	14 FUBBY
BBGGINO	20 GOBBING
BBGII	11 GIBBI
BBGIINR	17 RIBBING
BBGIJNO	21 JOBBING
BBGILLU	15 BILLBUG
BBGINO	19 GOBBIN
BBGINOR	21 ROBBING
BBGINOS	20 SOBBING
BBGINRU	17 RUBBING
BBGINSU	16 SUBBING
BBGINTU	20 TUBBING
BBGINU	15 GUBBIN
BBGIOSU	17 GIBBOUS
BBGISU	12 GIBBUS
BBGIY	12 GIBBY
BBGOU	15 GUBBO
BBGOY	16 GOBBY
BBGRUY	14 GRUBBY
BBHIIN	19 HIBBIN
BBHIJOS	22 JOBBISH
BBHILO	21 HOBBIL
BBHILOS	22 LOBBISH
BBHIMOS	25 MOBBISH
BBHIOST	25 HOBBIST
BBHIRSU	18 RUBBISH
BBHISTU	21 TUBBISH
BBHLOY	22 HOBBLY
BBHLUY	18 HUBBLY
BBHNOO	27 HOBNOB
BBHOSUX	21 BOXBUSH
BBHOY	20 HOBBY
BBHRSUU	18 BURBUSH
BBHRSUY	19 SHRUBBY
BBHU	14 HUBB
BBHUY	16 HUBBY
BBI	9 BIB
BBII	10 BIBI
BBIIILM	18 BILIMBI
BBIIIR	13 BIBIRI
BBIILM	17 BIMBIL
BBIILMS	18 BIBLISM
BBIILST	18 BIBLIST
BBIIO	15 BIBIO
BBIIRR	14 BRIBRI
BBIJY	13 JIBBY
BBIKSY	22 SKIBBY
BBILLU	14 BULBIL
BBILNOY	22 NOBBILY
BBILO	16 BILBO
BBILOOY	23 BOOBILY
BBILSU	13 BIBLUS
BBILSUU	14 BIBULUS
BBILSY	14 BYBLIS
BBILY	13 LIBBY
BBIMMOS	25 MOBBISM
BBIMOST	25 MOBBIST
BBINNU	18 NUBBIN
BBINOR	20 ROBBIN
BBINORY	22 RIBBONY
BBINY	15 NIBBY
BBIRY	13 RIBBY
BBISY	12 SIBBY
BBITU	15 TIBBU
BBITY	16 TIBBY
BBKLNOY	31 KNOBBLY
BBKLNUY	27 KNUBBLY
BBKNOY	29 KNOBBY
BBKNUY	25 KNUBBY
BBKOOOO	38 BOOBOOK
BBLLUU	14 BULBUL
BBLNUY	17 NUBBLY
BBLO	15 BLOB
BBLOSUU	18 BULBOUS
BBLOSY	18 SLOBBY
BBLOWY	20 WOBBLY
BBLOY	17 LOBBY
BBLRU	13 BLURB
BBLRUY	15 RUBBLY
BBLSTUY	19 STUBBLY
BBLSUY	14 SLUBBY
BBLU	11 BULB
BBLUY	13 BULBY
BBMO	18 BOMB
BBMOO	23 BOMBO
BBMOOR	25 ROBOMB
BBMOOSU	25 BOMBOUS
BBMOSU	20 BOMBUS
BBMOU	19 BUMBO
BBMOXY	21 BOMBYX
BBMOY	20 MOBBY
BBMRUY	18 BRUMBY
BBNNOO	26 BONBON
BBNOO	22 BONBO
BBNOORU	25 BOURBON
BBNOSY	20 SNOBBY
BBNOTU	23 NOBBUT
BBNOY	19 NOBBY
BBNSUY	16 SNUBBY
BBNUY	15 NUBBY
BBO	13 BOB
BBOO	18 BOOB
BBOOOTY	30 BOOTBOY
BBOOWY	23 BOWBOY
BBOOY	20 BOOBY
BBOPY	18 POBBY
BBOR	15 BROB
BBORTU	21 BURBOT
BBOSTUY	22 STUBBOY
BBOSY	16 SOBBY
BBOU	14 BUBO
BBRSUU	13 SUBURB
BBSTU	15 STUBB
BBSTUY	17 STUBBY
BBSUY	12 BUSBY
BBTUY	16 TUBBY
BBU	9 BUB
BCCDIKO	33 BIDCOCK
BCCEEH	23 CHEBEC
BCCEEHK	33 BECHECK
BCCEILO	24 ECBOLIC
BCCEILU	20 CUBICLE
BCCEILY	21 BICYCLE
BCCEO	21 BOCCE
BCCESUU	19 SUCCUBE
BCCIIMR	23 CIMBRIC
BCCIINO	25 BICONIC
BCCIKLO	32 BILCOCK
BCCILOU	23 BUCOLIC
BCCILOY	24 BICYCLO
BCCILUY	20 CUBICLY
BCCINUU	21 UNCUBIC
BCCIU	16 CUBIC
BCCKLOO	36 LOBCOCK
BCCMOOX	30 COXCOMB
BCCMSUU	22 SUCCUMB
BCCNOOR	30 CORNCOB
BCCOU	20 BUCCO
BCCSUU	17 SUCCUB
BCDDEIO	23 BODICED
BCDDEOR	24 BEDCORD
BCDDHIU	22 BUDDHIC
BCDEEIL	19 DECIBEL
BCDEEK	26 BEDECK
BCDEENU	21 BEDUNCE
BCDEHNU	24 BEDUNCH
BCDEHOT	29 BOTCHED
BCDEHOU	25 DEBOUCH
BCDEI	15 CEBID
BCDEIKS	26 SICKBED
BCDEIKT	30 BEDTICK
BCDEILO	22 DOCIBLE
BCDEIO	20 CEBOID
BCDEIOX	21 DICEBOX
BCDEIRY	19 BERYCID
BCDEITU	21 CUBITED
BCDEKLO	31 BLOCKED
BCDEKLU	27 BUCKLED
BCDEKOR	31 BROCKED
BCDEKOS	30 BEDSOCK
BCDEKRU	27 REDBUCK
BCDEKU	25 BUCKED
BCDELOU	22 OBCLUDE
BCDEMO	24 COMBED
BCDEORW	24 BECROWD
BCDESUU	17 SUBDUCE
BCDHIOR	25 BICHORD
BCDHOOU	28 CUBHOOD
BCDIIRU	17 RUBIDIC
BCDINOW	25 COWBIND
BCDIORW	23 COWBIRD
BCDIOU	19 CUBOID
BCDKOO	32 BODOCK
BCDKORU	30 BURDOCK
BCDLMOU	25 CLUBDOM
BCDMOU	23 CUBDOM
BCDMOUW	26 DUMBCOW
BCDNOU	22 BONDUC
BCDSTUU	20 SUBDUCT
BCEEEGL	18 GEELBEC
BCEEEHN	24 BEECHEN
BCEEEHS	21 BESEECH
BCEEEIP	19 BEPIECE
BCEEEKS	26 SEEBECK
BCEEENS	20 BECENSE
BCEEEPR	20 BECREEP
BCEEFIN	21 BENEFIC
BCEEFKL	28 BEFLECK
BCEEGIR	17 ICEBERG
BCEEGK	24 BEGECK
BCEEH	18 BEECH
BCEEHIN	23 BEHENIC
BCEEHIP	22 EPHEBIC
BCEEHIT	24 HEBETIC
BCEEHL	20 CHEBEL
BCEEHLR	22 BELCHER
BCEEHLU	21 CHEBULE
BCEEHNR	24 BENCHER
BCEEHO	23 OBECHE
BCEEHOR	25 RHEEBOC
BCEEHR	20 BREECH
BCEEHY	20 BEECHY
BCEEI	14 BEICE
BCEEIK	24 BECKIE
BCEEILM	21 EMBELIC
BCEEIMR	21 BECRIME
BCEEIN	18 CEBINE
BCEEINO	23 ICEBONE
BCEEINR	20 BERNICE
BCEEINT	23 BENCITE
BCEEIPS	18 BESPICE
BCEEIRS	17 ESCRIBE
BCEEIRT	21 TEREBIC
BCEEITV	21 BECIVET
BCEEKNR	29 BRECKEN
BCEEKNU	28 BUCKEEN
BCEEKR	25 REBECK
BCEEKRW	28 BEWRECK
BCEEKT	28 BECKET
BCEEKUY	26 BUCKEYE
BCEELL	17 CEBELL
BCEELMO	25 BECOLME
BCEELO	20 ECBOLE
BCEELOR	22 COREBEL
BCEELTU	21 CUBELET
BCEEMO	23 BECOME
BCEEMOS	24 BECOMES
BCEEMRY	22 BEMERCY
BCEENOO	27 COENOBE
BCEENOS	23 OBSCENE
BCEENRU	20 CRUBEEN
BCEENST	23 BESCENT
BCEEOTV	25 BECOVET
BCEER	15 REBEC
BCEERSU	17 BECURSE
BCEEX	14 XEBEC
BCEFHIL	22 BEFILCH
BCEFIIS	17 SEBIFIC
BCEFRSU	18 BESCURF
BCEGHO	22 CHEBOG
BCEGIL	15 BELGIC
BCEGLO	19 BECLOG
BCEGLU	15 BEGLUC
BCEGOO	22 COBEGO
BCEGUUU	15 GUEBUCU
BCEHILM	24 CHIMBLE
BCEHILU	20 BELUCHI
BCEHINP	24 BEPINCH
BCEHINR	23 BRICHEN
BCEHINT	26 BENTHIC
BCEHIOR	24 BRIOCHE
BCEHIPR	22 BREPHIC
BCEHITU	23 BUCHITE
BCEHITW	25 BEWITCH
BCEHL	18 BELCH
BCEHLN	22 BLENCH
BCEHLOU	24 BUCHLOE
BCEHLPU	22 UPBELCH
BCEHLRU	21 BLUCHER
BCEHN	20 BENCH
BCEHNNU	25 UNBENCH
BCEHNRU	23 REBUNCH
BCEHNY	22 BENCHY
BCEHO	21 BOCHE
BCEHOR	23 BROCHE
BCEHORT	28 BOTCHER
BCEHORU	24 BOUCHER
BCEHORW	26 COWHERB
BCEHOSU	23 SUBECHO
BCEHOU	22 BOUCHE
BCEHRSU	20 BECRUSH
BCEHRTU	24 BUTCHER
BCEHRU	19 CHERUB
BCEI	12 BICE
BCEIILS	16 SCIBILE
BCEIINS	18 IBSENIC
BCEIIR	15 IBERIC
BCEIIRS	16 SIBERIC
BCEIIS	14 IBICES
BCEIKK	32 BEKICK
BCEIKL	24 BELICK
BCEIKLM	29 LIMBECK
BCEIKLR	26 BRICKLE
BCEIKLU	25 BELUCKI
BCEIKLY	26 BLICKEY
BCEIKNR	28 BRICKEN
BCEIKR	24 BICKER
BCEIKRR	26 REBRICK
BCEIKST	28 BESTICK
BCEIKU	23 BUCKIE
BCEIL	14 CEBIL
BCEILLU	17 LUCIBLE
BCEILM	19 EMBLIC
BCEILMO	24 EMBOLIC
BCEILMR	21 RECLIMB
BCEILNO	23 BINOCLE
BCEILOR	21 ORBICLE
BCEILOU	20 CIBOULE
BCEILSU	16 SUBICLE
BCEILTY	21 BICETYL
BCEILY	16 BEYLIC
BCEIMNO	26 COMBINE
BCEIMOR	24 MICROBE
BCEINO	21 BICONE
BCEINOR	23 BICORNE
BCEINOY	23 CIBONEY
BCEINOZ	22 BENZOIC
BCEINRU	19 BRUCINE
BCEINTU	22 TUBICEN
BCEIO	17 CEIBO
BCEIOOT	27 BOEOTIC
BCEIOR	19 CORBIE
BCEIOU	18 EUBOIC
BCEIOX	18 ICEBOX
BCEIPS	16 BICEPS
BCEIRRS	17 SCRIBER
BCEIRS	15 SCRIBE
BCEIRSU	16 SUBERIC
BCEIRT	19 TERBIC
BCEIRTU	20 BRUCITE
BCEIRTY	21 IBYCTER
BCEIST	18 BISECT
BCEJOT	23 OBJECT
BCEJSTU	20 SUBJECT
BCEK	21 BECK
BCEKL	23 BLECK
BCEKLOR	30 REBLOCK
BCEKLRU	26 BUCKLER
BCEKLU	24 BUCKLE
BCEKMO	31 BEMOCK
BCEKMU	27 BEMUCK
BCEKNO	30 BECKON
BCEKORT	33 BROCKET
BCEKORU	29 ROEBUCK
BCEKOST	32 BESTOCK
BCEKOTY	33 BYCOKET
BCEKPRU	27 PURBECK
BCEKR	23 BRECK
BCEKRU	24 BUCKER
BCEKSTU	28 BESTUCK
BCEKTU	27 BUCKET
BCEKTUY	29 BUCKETY
BCEKY	23 BECKY
BCELLOW	23 COWBELL
BCELLSU	17 SUBCELL
BCELMNO	27 CLOMBEN
BCELMO	23 COMBLE
BCELMRU	21 CRUMBLE
BCELMSU	20 SCUMBLE
BCELNOW	25 BECLOWN
BCELO	18 COBLE
BCELOOR	25 BECOLOR
BCELOR	20 CORBEL
BCELORU	21 COLUBER
BCELOSS	20 COBLESS
BCELOTU	24 BECLOUT
BCELPUU	18 BLUECUP
BCELRU	16 BECURL
BCEMNTU	26 CUMBENT
BCEMOO	26 BECOOM
BCEMOR	23 RECOMB
BCEMORS	24 SCOMBER
BCEMORU	24 COMBURE
BCEMRRU	21 CRUMBER
BCEMRSU	20 SCUMBER
BCEMRU	19 CUMBRE
BCENO	20 BONCE
BCENORS	23 BESCORN
BCENORU	23 BOUNCER
BCENORW	25 BECROWN
BCENOTY	27 CYNEBOT
BCENOU	21 BOUNCE
BCENOY	22 CENOBY
BCENSTU	22 SUBNECT
BCENU	16 BUNCE
BCEO	16 BOCE
BCEOORT	28 OCTOBER
BCEORS	19 SCROBE
BCEORSS	20 BECROSS
BCEORSU	20 OBSCURE
BCEOST	22 BECOST
BCEOTT	26 OBTECT
BCEOY	18 BOYCE
BCERRSU	17 RESCRUB
BCERRU	16 CURBER
BCERRUY	18 BECURRY
BCERSTU	20 BECRUST
BCERU	14 CUBER
BCERY	15 BRYCE
BCESSTU	19 SUBSECT
BCESU	13 CEBUS
BCETU	17 BECUT
BCEU	12 CUBE
BCFIIOR	21 ORBIFIC
BCFIIRU	17 RUBIFIC
BCFSSUU	16 SUBFUSC
BCGIKNO	30 KINGCOB
BCGIKNU	26 BUCKING
BCGIMNO	25 COMBING
BCGINRU	18 CURBING
BCGOORU	23 COBOURG
BCGORU	18 COBURG
BCHIINU	21 HIBUNCI
BCHIIOT	26 COHIBIT
BCHIIR	18 BICHIR
BCHIIRT	23 CHIBRIT
BCHIKOU	31 CHIBOUK
BCHIKSU	27 BUCKISH
BCHIL	17 BILCH
BCHILNU	22 BULCHIN
BCHIMOR	27 RHOMBIC
BCHIMOS	26 BOCHISM
BCHINOR	26 BRONCHI
BCHINOT	29 BOTHNIC
BCHIOP	23 PHOBIC
BCHIOPR	25 PIBROCH
BCHIR	17 BIRCH
BCHIT	20 BITCH
BCHIY	17 BICHY
BCHLOT	26 BLOTCH
BCHLOTY	28 BLOTCHY
BCHNRU	21 BRUNCH
BCHNU	19 BUNCH
BCHNUY	21 BUNCHY
BCHO	19 CHOB
BCHOOR	26 BROOCH
BCHOPTU	28 UPBOTCH
BCHOR	21 BROCH
BCHORS	22 BORSCH
BCHORST	27 BORTSCH
BCHOS	20 BOSCH
BCHOT	24 BOTCH
BCHOTY	26 BOTCHY
BCHRSUU	19 BRUCHUS
BCHTU	20 BUTCH
BCHU	15 CHUB
BCHUU	16 BUCHU
BCIIIRS	15 SIBIRIC
BCIIKLN	27 NIBLICK
BCIIL	13 BILIC
BCIILM	18 LIMBIC
BCIILMU	19 UMBILIC
BCIILOR	20 COLIBRI
BCIILSY	16 SIBYLIC
BCIIMPU	20 IMPUBIC
BCIIMR	18 CIMBRI
BCIINO	20 NIOBIC
BCIINOR	22 RIBONIC
BCIINOT	25 BINOTIC
BCIINU	16 INCUBI
BCIIOPS	20 BIOPSIC
BCIIOST	22 COBITIS
BCIIOT	21 BIOTIC
BCIIPTY	21 BITYPIC
BCIIST	17 STIBIC
BCIISTU	18 BISCUIT
BCIK	20 BICK
BCIKL	22 BLICK
BCIKLRY	26 BRICKLY
BCIKMUY	28 BUMICKY
BCIKNO	29 KINCOB
BCIKNRU	27 UNBRICK
BCIKOTT	35 BITTOCK
BCIKR	22 BRICK
BCIKRY	24 BRICKY
BCILM	17 CLIMB
BCILMNU	22 UNCLIMB
BCILMPU	21 UPCLIMB
BCILMS	18 SCLIMB
BCILNOO	26 COLOBIN
BCILO	17 CIBOL
BCILOOR	24 BICOLOR
BCILPU	16 PUBLIC
BCILRU	15 LUBRIC
BCILTUY	20 BUTYLIC
BCIMMUY	23 CYMBIUM
BCIMNOU	25 UMBONIC
BCIMOR	22 BROMIC
BCIMOT	25 TOMBIC
BCIMSU	17 CUBISM
BCINNOR	25 CORNBIN
BCINOOR	26 COBIRON
BCINOPR	24 PIBCORN
BCINOR	21 BICRON
BCINORU	22 RUBICON
BCINORY	23 BYRONIC
BCINRU	17 UNCRIB
BCINSUU	17 INCUBUS
BCIOR	17 ORBIC
BCIORS	18 SORBIC
BCIORSS	19 SCROBIS
BCIORST	23 STROBIC
BCIORY	19 CIBORY
BCIOSTY	23 SYBOTIC
BCIOTU	21 CUBITO
BCIPU	14 PUBIC
BCIR	12 CRIB
BCIRRU	15 RUBRIC
BCIRTUY	20 BUTYRIC
BCIRU	13 URBIC
BCISTU	17 CUBIST
BCISTUU	18 CUBITUS
BCISTUY	19 SUBCITY
BCISUY	14 IBYCUS
BCITU	16 CUBIT
BCIU	11 CUBI
BCJKMUU	28 JUMBUCK
BCKLLOO	33 BOLLOCK
BCKLLOU	29 BULLOCK
BCKLMUU	28 BUCKLUM
BCKLNOU	31 UNBLOCK
BCKLO	26 BLOCK
BCKLOOX	32 LOCKBOX
BCKLOY	28 BLOCKY
BCKMMOU	35 BUMMOCK
BCKO	24 BOCK
BCKOORU	32 BOUROCK
BCKOORW	34 COBWORK
BCKOPTU	33 BUCKPOT
BCKOR	26 BROCK
BCKOSSU	27 BUSSOCK
BCKOTTU	35 BUTTOCK
BCKOU	25 BUCKO
BCKU	20 BUCK
BCKUY	22 BUCKY
BCLMO	21 CLOMB
BCLMOOU	27 COULOMB
BCLMRUY	21 CRUMBLY
BCLMUY	19 CUMBLY
BCLNUU	17 UNCLUB
BCLO	16 BLOC
BCLOOSU	23 SUBCOOL
BCLORTU	24 CLOTBUR
BCLOS	17 SCOLB
BCLTUU	18 CULBUT
BCLU	12 CLUB
BCMO	19 COMB
BCMOO	24 COOMB
BCMOOY	26 COMBOY
BCMORY	23 CORYMB
BCMOSTU	26 COMBUST
BCMOY	21 COMBY
BCMRU	17 CRUMB
BCMRUY	19 CRUMBY
BCMUU	16 CUMBU
BCNOOR	25 BRONCO
BCNOR	20 BRONC
BCNOSUY	22 BUSYCON
BCNOTU	24 COBNUT
BCNRUU	17 UNCURB
BCO	14 COB
BCOOTTY	31 BOYCOTT
BCOOWY	24 COWBOY
BCOOY	21 BOCOY
BCORS	17 SCROB
BCORSY	19 CROSBY
BCORU	17 COURB
BCOS	15 SCOB
BCOSS	16 SCOBS
BCOSU	16 COBUS
BCOUY	17 OCUBY
BCRSSUU	15 BRUSCUS
BCRSU	13 SCRUB
BCRU	12 CURB
BCRUY	14 CURBY
BCU	10 CUB
BDDDEE	17 BEDDED
BDDDOSU	20 ODDSBUD
BDDEEEG	17 BEEDGED
BDDEEES	17 SEEDBED
BDDEEIR	17 DEBRIDE
BDDEEIS	16 BEDSIDE
BDDEELN	20 BLENDED
BDDEEN	18 BENDED
BDDEENR	20 DERBEND
BDDEEOX	20 DEEDBOX
BDDEER	16 BEDDER
BDDEEW	17 WEDBED
BDDEFOR	22 BEDFORD
BDDEGIN	18 BEDDING
BDDEGIR	16 BRIDGED
BDDEILL	17 BDELLID
BDDEILN	19 BLINDED
BDDEILR	17 BRIDLED
BDDEILS	16 BEDLIDS
BDDEIN	17 DEBIND
BDDEIO	18 BODIED
BDDEIOR	20 DOEBIRD
BDDEIR	15 BIDDER
BDDEIRR	17 REDBIRD
BDDELOO	24 BLOODED
BDDELOU	20 DOUBLED
BDDELRU	17 BUDDLER
BDDELU	15 BUDDLE
BDDEMUY	20 BEMUDDY
BDDENO	21 BONDED
BDDENOU	22 BOUNDED
BDDEOR	19 DEBORD
BDDEORR	21 BRODDER
BDDERU	15 REDBUD
BDDESUU	15 SUBDUED
BDDGIIN	17 BIDDING
BDDGINU	17 BUDDING
BDDHIU	17 BUDDHI
BDDHU	16 BUDDH
BDDIMOR	23 BIRDDOM
BDDINRU	18 DUNBIRD
BDDIOSY	19 DISBODY
BDDISU	13 DISDUB
BDDIY	13 BIDDY
BDDOOUW	24 BUDWOOD
BDDUY	13 BUDDY
BDE	9 DEB
BDEEEEW	18 BEEWEED
BDEEEGH	19 BEHEDGE
BDEEEGI	15 DEBEIGE
BDEEEHR	20 BEEHERD
BDEEELR	17 BLEEDER
BDEEELT	20 BEETLED
BDEEELV	17 BEVELED
BDEEEN	17 BEDENE
BDEEENW	20 BENWEED
BDEEEPS	17 BESPEED
BDEEEPW	19 BEPEWED
BDEEERR	17 REBREED
BDEEERW	18 BEDEWER
BDEEET	18 DEBTEE
BDEEFIN	19 FEEDBIN
BDEEFIR	17 FIBERED
BDEEFOX	20 FEEDBOX
BDEEGIL	15 BEGLIDE
BDEEGOR	19 BEDGOER
BDEEGRY	16 BEDGERY
BDEEGSU	14 BUGSEED
BDEEGUW	16 BUGWEED
BDEEHL	18 BEHELD
BDEEHN	20 DHENEB
BDEEHO	21 HEDEBO
BDEEHRT	23 BERTHED
BDEEIKL	24 BELIKED
BDEEIKN	26 BEINKED
